无职	0	1	1	1	1	1	1	1	10000	10000	10000	10000	100	50	10	0
士	10	15	15	15	15	15	15	15	10000	10000	10000	10000	100	50	10	600
斧士	20	21	22	23	24	25	26	27	10000	10000	10000	10000	100	50	10	600
骑士	30	31	32	33	34	35	36	37	10000	10000	10000	10000	100	50	10	600
弓术士	40	45	45	45	45	45	45	45	10000	10000	10000	10000	100	50	10	600
兵士	50	51	52	53	54	55	56	57	10000	10000	10000	10000	100	50	10	600
クレリック	60	61	62	63	64	65	66	67	10000	10000	10000	10000	100	50	10	600
魔术师	70	75	75	75	75	75	75	75	10000	10000	10000	10000	100	50	10	600
术师	80	81	82	83	84	85	86	87	10000	10000	10000	10000	100	50	10	600
封印士	90	91	92	93	94	95	96	97	10000	10000	10000	10000	100	50	10	600
ブリーダー	100	101	102	103	104	105	106	107	10000	10000	10000	10000	100	50	10	600
调教术师	110	115	115	115	115	115	115	115	10000	10000	10000	10000	100	50	10	600
シーフ	120	121	122	123	124	125	126	127	10000	10000	10000	10000	100	50	10	600
巫术师	130	131	132	133	134	135	136	137	10000	10000	10000	10000	100	50	10	600
格家	140	145	145	145	145	145	145	145	10000	10000	10000	10000	100	50	10	600
忍者	150	151	152	153	154	155	156	157	10000	10000	10000	10000	100	50	10	600
踊り子	160	161	162	163	164	165	166	167	10000	10000	10000	10000	100	50	10	600
职人	200	201	202	203	204	205	206	207	10000	10000	10000	10000	10000	10000	10000	600
斧职人	210	211	212	213	214	215	216	217	10000	10000	10000	10000	100	50	10	600
枪职人	220	221	222	223	224	225	226	227	10000	10000	10000	10000	100	50	10	600
弓职人	230	231	232	233	234	235	236	237	10000	10000	10000	10000	100	50	10	600
杖职人	240	241	242	243	244	245	246	247	10000	10000	10000	10000	100	50	10	600
ブーメラン职人	250	251	252	253	254	255	256	257	10000	10000	10000	10000	100	50	10	600
ナイフ职人	260	261	262	263	264	265	266	267	10000	10000	10000	10000	100	50	10	600
兜职人	270	271	272	273	274	275	276	277	10000	10000	10000	10000	100	50	10	600
帽子职人	280	281	282	283	284	285	286	287	10000	10000	10000	10000	100	50	10	600
铠职人	290	291	292	293	294	295	296	297	10000	10000	10000	10000	100	50	10	600
服职人	300	301	302	303	304	305	306	307	10000	10000	10000	10000	100	50	10	600
ローブ职人	310	311	312	313	314	315	316	317	10000	10000	10000	10000	100	50	10	600
ブーツ职人	320	321	322	323	324	325	326	327	10000	10000	10000	10000	100	50	10	600
靴职人	330	331	332	333	334	335	336	337	10000	10000	10000	10000	100	50	10	600
盾职人	340	341	342	343	344	345	346	347	10000	10000	10000	10000	100	50	10	600
调理师	350	351	352	353	354	355	356	357	10000	10000	10000	10000	100	50	10	600
师	360	361	362	363	364	365	366	367	10000	10000	10000	10000	100	50	10	600
武器修理职人	370	371	372	373	374	375	376	377	10000	10000	10000	10000	10000	10000	10000	600
防具修理职人	380	381	382	383	384	385	386	387	10000	10000	10000	10000	100	50	10	600
鉴定士	390	391	392	393	394	395	396	397	10000	10000	10000	10000	100	50	10	600
はんこ屋	400	401	402	403	404	405	406	407	10000	10000	10000	10000	100	50	10	600
探侦	410	411	412	413	414	415	416	417	10000	10000	10000	10000	100	50	10	600
仙人	420	421	422	423	424	425	426	427	10000	10000	10000	10000	100	50	10	600
看护妇	430	431	432	433	434	435	436	437	10000	10000	10000	10000	100	50	10	600
?者	440	441	442	443	444	445	446	447	10000	10000	10000	10000	100	50	10	600
きこり	450	451	452	453	454	455	456	457	10000	10000	10000	10000	100	50	10	600
狩人	460	461	462	463	464	465	466	467	10000	10000	10000	10000	100	50	10	600
坑夫	470	471	472	473	474	475	476	477	10000	10000	10000	10000	100	50	10	600
超越职	480	481	481	481	481	481	481	481	10000	10000	10000	10000	100	50	10	
爆弹师	1000	1001	1002	1003	1004	1005	1006	1007	10000	10000	10000	10000	100	50	10	600
纺织工	1010	1011	1012	1013	1014	1015	1016	1017	10000	10000	10000	10000	100	50	10	600
聖戰士	1011	1018	1018	1018	1018	1018	1018	1018	10000	10000	10000	10000	100	50	10	
陰陽師	1012	1019	1019	1019	1019	1019	1019	1019	10000	10000	10000	10000	100	50	10	
帝國龍騎士	2010	2011	2011	2011	2011	2011	2011	2011	10000	10000	10000	10000	100	50	10	600
風鷹狩獵者	2020	2021	2021	2021	2021	2021	2021	2021	10000	10000	10000	10000	100	50	10	600
影武追跡者	2030	2031	2031	2031	2031	2031	2031	2031	10000	10000	10000	10000	100	50	10	600
魔導聖別者	2040	2041	2041	2041	2041	2041	2041	2041	10000	10000	10000	10000	100	50	10	600
